DUP_ID,UC1_COI,UC2_COI,UC3_COI,UC4_COI,UC5_COI,UC6_COI,UC7_COI,UC9_COI,UC10_COI,UC12_COI,UC13_COI,UC14_COI,UC15_COI,GOC2a_COI,GOC2b_COI,CP23_COI,UC3_2_COI,CP23_2_COI,UC3_1_COI,CP23_1_COI,NTC_2_COI
OTU_257,0,0,0,0,0,0,0,0,381,378,732,328,40,953,515,0,0,11,0,0,0
OTU_258,0,0,0,0,0,1,0,0,0,0,0,744,77,3237,562,183,0,46,0,168,0
OTU_259,0,0,0,0,0,0,0,0,0,0,0,1592,75,2595,1003,105,0,39,0,167,0
OTU_260,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0
OTU_262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,266,0,1610,0,270,0
OTU_263,0,0,0,0,0,0,0,0,0,0,7,0,0,2350,0,2,0,0,0,0,0
OTU_265,22,114,133,190,667,268,135,27,378,746,496,537,822,160,144,144,8,13,30,135,0
OTU_268,0,0,0,0,0,0,1,0,0,9,1219,2514,114,119,382,180,0,182,0,162,0
OTU_270,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1058,0,0,0,954,0
OTU_271,0,0,11,2101,7,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0
OTU_273,0,0,0,0,0,0,0,0,0,1538,259,35,149,0,0,141,0,0,0,109,0
OTU_274,45,363,338,4,1395,368,752,1082,20,15,1,2,3,1,0,0,34,0,119,0,0
OTU_275,0,0,0,0,0,0,0,0,72,0,1670,38,406,0,0,0,0,0,0,0,0
OTU_277,0,0,0,0,0,0,0,0,39,47,1065,526,843,575,519,25,0,11,0,6,0
OTU_279,3468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_280,0,0,0,0,0,0,0,0,0,0,18,0,1443,10,1,388,0,49,0,316,0
OTU_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0
OTU_284,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,6,0,4,0,0,0
OTU_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,0,0,0,0,0,0
OTU_294,0,0,1304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,561,0,0
OTU_295,0,0,0,0,0,0,0,0,0,0,74,242,141,1385,318,2,0,38,0,0,0
OTU_296,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_297,0,0,0,0,0,1,0,0,0,0,0,0,0,2366,0,104,0,0,0,29,0
OTU_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,0,0,0,0,0,0
OTU_301,0,0,0,0,0,0,0,0,0,0,0,0,1,114,1613,0,0,0,0,0,0
OTU_302,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1749,0,0,0,0,0,0
OTU_304,0,0,1,0,604,880,91,144,234,55,181,0,114,0,0,0,0,0,0,0,0
OTU_305,0,0,0,0,0,0,0,0,0,6,0,82,2376,37,34,598,0,345,0,739,0
OTU_306,69,88,1124,21,171,54,319,7,197,93,310,38,13,0,0,0,7,0,423,2,0
OTU_307,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_308,0,0,0,0,0,0,0,0,104,438,465,245,219,65,47,141,0,20,0,140,0
OTU_311,1292,594,0,19,0,3,5,0,0,12,0,11,10,0,0,0,0,0,0,0,0
OTU_312,0,0,828,0,0,0,0,0,62,1,2,451,7,37,0,935,1,486,399,1053,0
OTU_314,73,616,274,123,225,78,174,10,8,5,3,1,6,1,1,0,34,0,122,0,0
OTU_316,0,0,0,0,0,0,0,0,0,18,53,481,618,106,58,373,0,95,0,446,0
OTU_318,0,0,0,0,0,0,0,0,0,2,0,402,20,641,274,20,0,14,0,33,0
OTU_321,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,0,0,0
OTU_322,0,0,0,0,0,0,0,0,0,2492,40,3,8,0,0,313,0,4,0,284,0
OTU_323,0,1565,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_325,172,288,766,15,980,1635,0,219,121,0,0,0,0,0,0,9,46,0,310,9,0
OTU_326,55,1119,445,315,300,69,166,2,19,11,1,0,1,0,0,0,37,0,150,0,0
OTU_327,0,1,0,0,0,0,0,0,0,1683,0,0,161,0,7,0,0,0,0,0,0
OTU_330,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0,0,0
OTU_331,0,0,0,0,5,1078,498,0,380,3,59,0,0,0,0,1,0,0,0,0,0
OTU_332,0,0,1,3,0,1455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_337,0,0,0,0,0,0,0,1,0,0,0,86,0,0,0,789,0,1960,0,661,0
OTU_339,0,0,0,0,0,1,0,0,0,0,0,0,0,1649,0,0,0,0,0,0,0
OTU_340,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,0,0
OTU_341,0,133,210,0,757,291,0,0,0,0,1,0,2,0,0,0,163,0,84,0,0
OTU_350,0,39,340,0,846,167,6,0,0,0,2,0,0,0,0,0,2225,0,123,0,0
OTU_351,9,25,31,18,3,3,0,237,70,173,1,164,233,1,0,324,10,104,29,408,0
OTU_354,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,0
OTU_355,0,324,1502,0,116,535,193,71,2,8,279,52,26,1,0,36,120,4,515,16,0
OTU_356,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1548,0,0,0,0,0,0
OTU_360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,0,0,0,0,0,0
OTU_361,0,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_363,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1441,0,0,0,0,0,0
OTU_364,0,0,890,295,359,2,8,8,0,0,0,0,0,0,0,0,0,0,552,0,0
OTU_366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,676,0
OTU_367,0,0,0,0,0,0,1,0,0,4,0,4,0,0,2740,0,0,0,0,0,0
OTU_368,0,0,0,0,0,0,0,0,0,0,0,0,1370,2,0,0,0,0,0,0,0
OTU_371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,684,0,711,0
OTU_372,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,4,0,0,0,0,0,0
OTU_373,0,0,0,0,0,52,0,0,2,42,150,191,473,0,0,332,0,77,0,343,0
OTU_374,0,0,0,0,0,0,0,0,853,2,3,3,0,1,2,0,0,579,0,0,0
OTU_376,0,0,0,3,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,1443,0,1060,0
