OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_172917,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_172947,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_172948,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_172988,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173011,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173012,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173046,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173052,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173064,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173117,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173132,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173145,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173156,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173162,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173200,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173209,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173211,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173215,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173217,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173261,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173267,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173279,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173280,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173296,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173297,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,s_
OTU_173309,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173329,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173340,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173370,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173380,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173383,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173388,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173389,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
OTU_173395,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173409,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173439,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173447,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173464,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173470,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173482,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173493,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173494,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173496,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173510,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173512,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173517,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173522,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173523,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173526,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173527,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173532,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173535,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173537,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173546,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173547,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173556,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173559,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,s_
OTU_173571,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173578,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173581,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173596,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173597,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173599,Eukaryota,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,g_,s_
OTU_173601,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173605,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173609,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173610,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173611,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173612,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173614,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173632,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173633,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173649,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173654,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173665,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173667,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173669,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173670,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173686,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173687,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_173691,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173703,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173704,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173715,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173723,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173731,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173733,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173741,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173746,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173748,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173757,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173770,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173774,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173778,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173787,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173791,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173793,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173794,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173797,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173798,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173814,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173824,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173828,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173829,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_173837,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_173843,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
