#OTU_ID	taxonomy
OTU_311	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_4356	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_4600	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_6163	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_22936	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_53086	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_100814	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_144116	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_144368	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_145548	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_205425	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_209580	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_212584	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_260315	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_270157	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_270397	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_270456	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_270459	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_270769	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_271483	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_276818	k__Eukaryota, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Corynidae,g__,s__
OTU_15833	k__Eukaryota, p__Cnidaria, c__Hydrozoa, o__Siphonophorae, f__Forskaliidae, g__Forskalia, s__Forskalia edwardsi
OTU_43150	k__Eukaryota, p__Platyhelminthes,c__,o__,f__,g__,s__
OTU_114258	k__Eukaryota, p__Platyhelminthes,c__,o__,f__,g__,s__
OTU_363693	k__Eukaryota, p__Nemertea, c__Enopla, o__Monostilifera,f__,g__,s__
OTU_4889	k__Eukaryota, p__Annelida,c__,o__,f__,g__,s__
OTU_10783	k__Eukaryota, p__Annelida,c__,o__,f__,g__,s__
OTU_119629	k__Eukaryota, p__Annelida,c__,o__,f__,g__,s__
OTU_186583	k__Eukaryota, p__Annelida,c__,o__,f__,g__,s__
OTU_17891	k__Eukaryota, p__Annelida, c__Polychaeta,o__,f__,g__,s__
OTU_62749	k__Eukaryota, p__Annelida, c__Polychaeta,o__,f__,g__,s__
OTU_219935	k__Eukaryota, p__Annelida, c__Polychaeta,o__,f__,g__,s__
OTU_23216	k__Eukaryota, p__Annelida, c__Polychaeta, o__Phyllodocida,f__,g__,s__
OTU_24790	k__Eukaryota, p__Annelida, c__Polychaeta, o__Phyllodocida,f__,g__,s__
OTU_1350	k__Eukaryota, p__Annelida, c__Polychaeta, o__Spionida, f__Chaetopteridae,g__,s__
OTU_124029	k__Eukaryota, p__Annelida, c__Polychaeta, o__Spionida, f__Chaetopteridae,g__,s__
OTU_6035	k__Eukaryota, p__Annelida, c__Clitellata, o__Haplotaxida,f__,g__,s__
OTU_8095	k__Eukaryota, p__Annelida, c__Clitellata, o__Haplotaxida,f__,g__,s__
OTU_184997	k__Eukaryota, p__Annelida, c__Clitellata, o__Haplotaxida,f__,g__,s__
OTU_1489	k__Eukaryota, p__Mollusca, c__Gastropoda,o__,f__,g__,s__
OTU_28847	k__Eukaryota, p__Mollusca, c__Gastropoda,o__,f__,g__,s__
OTU_211875	k__Eukaryota, p__Mollusca, c__Gastropoda, o__Neogastropoda,f__,g__,s__
OTU_7602	k__Eukaryota, p__Mollusca, c__Gastropoda, o__unknown, f__Aplysiidae, g__Aplysia, s__Aplysia californica
OTU_217910	k__Eukaryota, p__Mollusca, c__Gastropoda, o__unknown, f__Aplysiidae, g__Aplysia, s__Aplysia californica
OTU_15278	k__Eukaryota, p__Mollusca, c__Gastropoda, o__unknown, f__Aplysiidae, g__Aplysia, s__Aplysia parvula
OTU_17441	k__Eukaryota, p__Mollusca, c__Bivalvia, o__Veneroida, f__Veneridae,g__,s__
OTU_42772	k__Eukaryota, p__Mollusca, c__Cephalopoda, o__Teuthida, f__Enoploteuthidae, g__Watasenia, s__Watasenia scintillans
OTU_86703	k__Eukaryota, p__Mollusca, c__Cephalopoda, o__Teuthida, f__Enoploteuthidae, g__Watasenia, s__Watasenia scintillans
OTU_362339	k__Eukaryota, p__Mollusca, c__Cephalopoda, o__Teuthida, f__Enoploteuthidae, g__Watasenia, s__Watasenia scintillans
OTU_20900	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_49609	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_114919	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_117733	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_211439	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_260874	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_262837	k__Eukaryota, p__Arthropoda,c__,o__,f__,g__,s__
OTU_7957	k__Eukaryota, p__Arthropoda, c__Hexanauplia, o__Sessilia, f__Balanidae, g__Balanus,s__
OTU_71963	k__Eukaryota, p__Arthropoda, c__Hexanauplia, o__Sessilia, f__Balanidae, g__Balanus,s__
OTU_274887	k__Eukaryota, p__Arthropoda, c__Hexanauplia, o__Sessilia, f__Balanidae, g__Balanus,s__
OTU_3049	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_92787	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_37978	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_185457	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_287823	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Cambaridae,g__,s__
OTU_1783	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_3895	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_4570	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_5282	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_6516	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_7526	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_7901	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_8265	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_12814	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_18603	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_19431	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_34169	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_34170	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_34171	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_34174	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_34180	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_49857	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_70870	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_123184	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_186182	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
OTU_186202	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda,f__,g__,s__
