V1;V3,V4,V5,V6,V7,V8,V9
OTU_147611;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_147613;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_261188;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281468;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281482;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281508;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281516;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281581;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_281582;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_29391;['Eukaryota', 'unknown', 'Dinophyceae', 'Gonyaulacales', 'Gonyaulacaceae', 'Alexandrium','s_']
OTU_102578;['Eukaryota', 'unknown', 'Dinophyceae', 'Gonyaulacales', 'Gonyaulacaceae', 'Alexandrium','s_']
OTU_159028;['Eukaryota', 'unknown', 'Dinophyceae', 'Gonyaulacales', 'Gonyaulacaceae', 'Alexandrium','s_']
OTU_351920;['Eukaryota', 'unknown', 'Dinophyceae', 'Gonyaulacales', 'Gonyaulacaceae', 'Alexandrium','s_']
OTU_12098;['Eukaryota', 'unknown', 'Dinophyceae', 'Prorocentrales', 'Prorocentraceae', 'Prorocentrum','s_']
OTU_35817;['Eukaryota', 'unknown', 'Dinophyceae', 'Prorocentrales', 'Prorocentraceae', 'Prorocentrum','s_']
OTU_78918;['Eukaryota', 'unknown', 'Dinophyceae', 'Prorocentrales', 'Prorocentraceae', 'Prorocentrum','s_']
OTU_63872;['Eukaryota', 'unknown', 'Dinophyceae', 'Prorocentrales', 'Prorocentraceae', 'Prorocentrum', 'Prorocentrum micans']
OTU_16204;['Eukaryota', 'unknown', 'Dinophyceae', 'Suessiales', 'Symbiodiniaceae', 'Symbiodinium','s_']
OTU_159021;['Eukaryota', 'unknown', 'Dinophyceae', 'Suessiales', 'Symbiodiniaceae', 'Symbiodinium','s_']
OTU_281490;['Eukaryota', 'unknown', 'Dinophyceae', 'Suessiales', 'Symbiodiniaceae', 'Symbiodinium','s_']
OTU_319867;['Eukaryota', 'unknown', 'Dinophyceae', 'Suessiales', 'Symbiodiniaceae', 'Symbiodinium', 'Symbiodinium microadriaticum']
OTU_63867;['Eukaryota', 'unknown', 'Dinophyceae', 'Suessiales', 'Suessiaceae', 'Protodinium', 'Protodinium simplex']
OTU_281488;['Eukaryota', 'unknown', 'Dinophyceae', 'Lophodiniales', 'Lophodiniaceae', 'Woloszynskia','s_']
OTU_63898;['Eukaryota', 'unknown', 'Dinophyceae', 'Pyrocystales', 'Pyrocystaceae', 'Pyrocystis', 'Pyrocystis lunula']
OTU_143645;['Eukaryota', 'Bacillariophyta', 'Coscinodiscophyceae', 'Rhizosoleniales', 'Rhizosoleniaceae', 'Rhizosolenia', 'Rhizosolenia setigera']
OTU_1367;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_2161;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_4094;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_172946;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_1904;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_4597;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_10204;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_11132;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_263467;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_263543;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_263546;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_268324;['Eukaryota', 'Chlorophyta','c_','o_','f_','g_','s_']
OTU_209487;['Eukaryota', 'unknown', 'Oomycetes','o_','f_','g_','s_']
OTU_308062;['Eukaryota', 'unknown', 'Oomycetes','o_','f_','g_','s_']
OTU_103760;['Eukaryota', 'unknown', 'Oomycetes', 'Saprolegniales', 'Saprolegniaceae','g_','s_']
OTU_82322;['Eukaryota', 'unknown', 'Oomycetes', 'Peronosporales', 'Peronosporaceae', 'Phytophthora','s_']
OTU_114793;['Eukaryota', 'unknown', 'Oomycetes', 'Pythiales', 'Pythiaceae', 'Pythium','s_']
OTU_229287;['Eukaryota', 'unknown', 'Oomycetes', 'Pythiales', 'Pythiaceae', 'Pythium','s_']
OTU_26445;['Eukaryota', 'Basidiomycota', 'Microbotryomycetes', 'Sporidiobolales', 'Sporidiobolaceae', 'Rhodotorula', 'Rhodotorula mucilaginosa']
OTU_185662;['Eukaryota', 'Basidiomycota', 'Microbotryomycetes', 'Sporidiobolales', 'Sporidiobolaceae', 'Rhodotorula', 'Rhodotorula mucilaginosa']
OTU_221559;['Eukaryota', 'Apicomplexa','c_','o_','f_','g_','s_']
OTU_137;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_311;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_4356;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_4600;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_6163;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_22936;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_53086;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_100814;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_144116;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_144368;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_145548;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_205425;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_209580;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_212584;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_260315;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_270157;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_270397;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_270456;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_270459;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_270769;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_271483;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_276818;['Eukaryota', 'Cnidaria', 'Hydrozoa', 'Anthoathecata', 'Corynidae','g_','s_']
OTU_15833;['Eukaryota', 'Cnidaria', 'Hydrozoa', 'Siphonophorae', 'Forskaliidae', 'Forskalia', 'Forskalia edwardsi']
OTU_43150;['Eukaryota', 'Platyhelminthes','c_','o_','f_','g_','s_']
OTU_114258;['Eukaryota', 'Platyhelminthes','c_','o_','f_','g_','s_']
OTU_363693;['Eukaryota', 'Nemertea', 'Enopla', 'Monostilifera','f_','g_','s_']
OTU_4889;['Eukaryota', 'Annelida','c_','o_','f_','g_','s_']
OTU_10783;['Eukaryota', 'Annelida','c_','o_','f_','g_','s_']
OTU_119629;['Eukaryota', 'Annelida','c_','o_','f_','g_','s_']
OTU_186583;['Eukaryota', 'Annelida','c_','o_','f_','g_','s_']
OTU_17891;['Eukaryota', 'Annelida', 'Polychaeta','o_','f_','g_','s_']
OTU_62749;['Eukaryota', 'Annelida', 'Polychaeta','o_','f_','g_','s_']
OTU_219935;['Eukaryota', 'Annelida', 'Polychaeta','o_','f_','g_','s_']
OTU_23216;['Eukaryota', 'Annelida', 'Polychaeta', 'Phyllodocida','f_','g_','s_']
OTU_24790;['Eukaryota', 'Annelida', 'Polychaeta', 'Phyllodocida','f_','g_','s_']
OTU_1350;['Eukaryota', 'Annelida', 'Polychaeta', 'Spionida', 'Chaetopteridae','g_','s_']
OTU_124029;['Eukaryota', 'Annelida', 'Polychaeta', 'Spionida', 'Chaetopteridae','g_','s_']
OTU_6035;['Eukaryota', 'Annelida', 'Clitellata', 'Haplotaxida','f_','g_','s_']
OTU_8095;['Eukaryota', 'Annelida', 'Clitellata', 'Haplotaxida','f_','g_','s_']
OTU_184997;['Eukaryota', 'Annelida', 'Clitellata', 'Haplotaxida','f_','g_','s_']
OTU_1489;['Eukaryota', 'Mollusca', 'Gastropoda','o_','f_','g_','s_']
OTU_28847;['Eukaryota', 'Mollusca', 'Gastropoda','o_','f_','g_','s_']
OTU_211875;['Eukaryota', 'Mollusca', 'Gastropoda', 'Neogastropoda','f_','g_','s_']
OTU_7602;['Eukaryota', 'Mollusca', 'Gastropoda', 'unknown', 'Aplysiidae', 'Aplysia', 'Aplysia californica']
OTU_217910;['Eukaryota', 'Mollusca', 'Gastropoda', 'unknown', 'Aplysiidae', 'Aplysia', 'Aplysia californica']
OTU_15278;['Eukaryota', 'Mollusca', 'Gastropoda', 'unknown', 'Aplysiidae', 'Aplysia', 'Aplysia parvula']
OTU_17441;['Eukaryota', 'Mollusca', 'Bivalvia', 'Veneroida', 'Veneridae','g_','s_']
OTU_42772;['Eukaryota', 'Mollusca', 'Cephalopoda', 'Teuthida', 'Enoploteuthidae', 'Watasenia', 'Watasenia scintillans']
OTU_86703;['Eukaryota', 'Mollusca', 'Cephalopoda', 'Teuthida', 'Enoploteuthidae', 'Watasenia', 'Watasenia scintillans']
OTU_362339;['Eukaryota', 'Mollusca', 'Cephalopoda', 'Teuthida', 'Enoploteuthidae', 'Watasenia', 'Watasenia scintillans']
OTU_20900;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_49609;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_114919;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_117733;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_211439;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_260874;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_262837;['Eukaryota', 'Arthropoda','c_','o_','f_','g_','s_']
OTU_7957;['Eukaryota', 'Arthropoda', 'Hexanauplia', 'Sessilia', 'Balanidae', 'Balanus','s_']
OTU_71963;['Eukaryota', 'Arthropoda', 'Hexanauplia', 'Sessilia', 'Balanidae', 'Balanus','s_']
OTU_274887;['Eukaryota', 'Arthropoda', 'Hexanauplia', 'Sessilia', 'Balanidae', 'Balanus','s_']
OTU_3049;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_92787;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_37978;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_185457;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_287823;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda', 'Cambaridae','g_','s_']
OTU_1783;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_3895;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_4570;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_5282;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_6516;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_7526;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_7901;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_8265;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_12814;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_18603;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_19431;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_34169;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_34170;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_34171;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_34174;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_34180;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_49857;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_70870;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_123184;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_186182;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
OTU_186202;['Eukaryota', 'Arthropoda', 'Malacostraca', 'Decapoda','f_','g_','s_']
