#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_54	0	612	1278	0	4851	2126	15	0	0	0	0	0	0	0	0	0	556	0	540	0	1	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Forskaliidae; g__Forskalia; s__Forskalia contorta
OTU_55	0	0	0	0	0	0	0	2	62	135	5	361	3871	208	321	6203	1	2047	0	5670	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Subeucalanus; s__Subeucalanus pileatus
OTU_56	316	357	4089	7	2209	24	954	694	29	39	8	44	40	0	0	1	340	4	1603	0	1	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus parapergens
OTU_59	974	1141	1283	1947	99	3104	1076	10	85	1	0	1	298	0	0	0	429	0	736	2	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Calanus; s__Calanus pacificus
OTU_62	3	65	563	2	27	27	7	2096	3822	1604	3204	6754	1292	87	90	580	24	147	155	715	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus jobei
OTU_63	0	0	1	9623	2	1121	13	0	0	0	0	4	1	0	0	9	0	28	0	12	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Diphyidae; g__Diphyes; s__Diphyes dispar
OTU_64	0	0	0	0	632	225	327	0	3891	1265	2599	60	93	0	0	0	1	1	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus brevipes
OTU_65	0	0	0	3	0	0	0	1	1798	1477	295	4315	1552	44	0	5832	0	1664	0	5894	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Temoridae; g__Temora; s__Temora discaudata
OTU_67	0	0	0	0	0	0	0	0	0	0	0	22	0	5208	5791	60	0	67	0	46	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Poecilostomatoida; f__Oncaeidae; g__Oncaea; s__Oncaea scottodicarloi
OTU_69	0	0	0	0	183	4	102	0	788	1351	2579	1813	871	21	773	823	0	17	0	784	0	k__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Aphragmophora; f__Sagittidae; g__Sagitta; s__Sagitta enflata
OTU_70	132	834	272	420	685	293	512	89	463	863	887	604	1634	511	401	169	48	18	161	195	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus furcatus
OTU_72	0	0	0	0	0	0	0	1	17	45	2	114	1105	54	74	1751	0	570	1	1840	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Subeucalanus; s__Subeucalanus pileatus
OTU_73	0	0	5313	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1913	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Eucalanus; s__Eucalanus californicus
OTU_75	0	0	0	1	0	0	0	0	563	3884	5437	5669	11636	206	91	1313	18	885	0	1299	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Paracalanidae; g__Bestiolina; s__Bestiolina similis
OTU_76	0	1	0	0	0	6922	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Diphyidae; g__Lensia; s__Lensia campanella
OTU_77	0	0	1	0	0	12	0	0	60	176	5133	1643	320	73	4	83	0	1	1	65	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Trachymedusae; f__Rhopalonematidae; g__Rhopalonema; s__Rhopalonema velatum
OTU_79	0	0	0	0	0	0	0	2	0	12	1922	1229	6316	1425	2499	1299	0	566	0	1278	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Cosmocalanus; s__Cosmocalanus darwinii
OTU_80	97	10	97	19	7133	7	1660	3	319	0	0	0	2	0	0	0	9	0	16	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_81	0	0	0	0	0	0	0	0	73	0	388	1657	1	3473	206	576	0	8	0	635	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Decapoda; f__Luciferidae; g__Lucifer; s__Lucifer typus
