DUP_253859;size=2	
DUP_254213;size=2	
DUP_254214;size=2	
DUP_254358;size=2	
DUP_254479;size=2	
DUP_254617;size=2	
DUP_254647;size=2	
DUP_254879;size=2	
DUP_254944;size=2	
DUP_255012;size=2	
DUP_255252;size=2	
DUP_255263;size=2	
DUP_255268;size=2	
DUP_255289;size=2	
DUP_255461;size=2	
DUP_255473;size=2	
DUP_256217;size=2	
DUP_256262;size=2	
DUP_256294;size=2	
DUP_256295;size=2	
DUP_256329;size=2	
DUP_256330;size=2	
DUP_256388;size=2	
DUP_256457;size=2	
DUP_256477;size=2	
DUP_256620;size=2	
DUP_256954;size=2	
DUP_258548;size=2	
DUP_258581;size=2	
DUP_258582;size=2	
DUP_258602;size=2	
DUP_258613;size=2	
DUP_258668;size=2	
DUP_258676;size=2	
DUP_258682;size=2	
DUP_258697;size=2	
DUP_258875;size=2	
DUP_259044;size=2	
DUP_259124;size=2	
DUP_259206;size=2	
DUP_259223;size=2	
DUP_259529;size=2	
DUP_259648;size=2	
DUP_260044;size=2	
DUP_260212;size=2	
DUP_261583;size=2	
DUP_261917;size=2	
DUP_261977;size=2	
DUP_262081;size=2	
DUP_262115;size=2	
DUP_262521;size=2	
DUP_262522;size=2	
DUP_262534;size=2	
DUP_262569;size=2	
DUP_262648;size=2	
DUP_262774;size=2	
DUP_262775;size=2	
DUP_262981;size=2	
DUP_266044;size=2	
DUP_266045;size=2	
DUP_266895;size=2	
DUP_266923;size=2	
DUP_266925;size=2	
DUP_266930;size=2	
DUP_267102;size=2	
DUP_268266;size=2	
DUP_274145;size=2	
DUP_279859;size=2	
DUP_279861;size=2	
DUP_279868;size=2	
DUP_281604;size=2	
DUP_281608;size=2	
DUP_282160;size=2	
DUP_283633;size=2	
DUP_283635;size=2	
DUP_285470;size=2	
DUP_285537;size=2	
DUP_285755;size=2	
DUP_285756;size=2	
DUP_285757;size=2	
DUP_285761;size=2	
DUP_287202;size=2	
DUP_287311;size=2	
DUP_289522;size=2	
DUP_289562;size=2	
DUP_291678;size=2	
DUP_292004;size=2	
DUP_298638;size=2	
DUP_300637;size=2	
DUP_300956;size=2	
DUP_301149;size=2	
DUP_309605;size=2	
DUP_310941;size=2	
DUP_316427;size=2	
DUP_320018;size=2	
DUP_320068;size=4	
DUP_320371;size=2	
DUP_320372;size=2	
DUP_326464;size=2	
DUP_342529;size=4	
DUP_343877;size=2	
DUP_343878;size=2	
DUP_350714;size=4	
DUP_352304;size=2	
DUP_352318;size=2	
DUP_352490;size=2	
DUP_352491;size=2	
DUP_352912;size=2	
DUP_353140;size=2	
DUP_359320;size=2	
DUP_359323;size=2	
DUP_359332;size=2	
DUP_360531;size=2	
DUP_360538;size=2	
DUP_360575;size=2	
DUP_361485;size=4	
DUP_362269;size=2	
DUP_362276;size=2	
DUP_362467;size=2	
DUP_362603;size=2	
DUP_363293;size=2	
DUP_363345;size=2	
DUP_363592;size=2	
DUP_363880;size=2	
DUP_363977;size=2	
DUP_364003;size=2	
DUP_364053;size=2	
DUP_364130;size=2	
DUP_364309;size=2	
DUP_364874;size=2	
DUP_365417;size=2	
DUP_365933;size=2	
DUP_366242;size=2	
DUP_368249;size=4	
DUP_369234;size=2	
DUP_370378;size=2	
DUP_373120;size=2	
DUP_373121;size=2	
DUP_373122;size=2	
DUP_373647;size=2	
DUP_373733;size=2	
DUP_373843;size=2	
DUP_374074;size=2	
DUP_375460;size=2	
DUP_375541;size=2	
DUP_375628;size=2	
DUP_375682;size=2	
DUP_376432;size=2	
DUP_376835;size=2	
DUP_376836;size=2	
DUP_376944;size=2	
DUP_377549;size=2	
DUP_377569;size=2	
DUP_122;size=10166	
DUP_152;size=3797	
DUP_179;size=15334	
DUP_228;size=6694	
DUP_259;size=5576	
DUP_318;size=1406	
DUP_322;size=3144	
DUP_382;size=1909	
DUP_408;size=1558	
DUP_410;size=7106	
DUP_429;size=3902	
DUP_446;size=5288	
DUP_514;size=1026	
DUP_518;size=1185	
DUP_553;size=930	
DUP_574;size=981	
DUP_577;size=1011	
DUP_655;size=7568	
DUP_694;size=643	
DUP_707;size=765	
DUP_742;size=656	
DUP_764;size=565	
DUP_766;size=2411	
DUP_796;size=553	
DUP_844;size=462	
DUP_871;size=1252	
DUP_999;size=449	
DUP_1020;size=947	
DUP_1249;size=1707	
DUP_1274;size=339	
DUP_1371;size=467	
DUP_1393;size=608	
DUP_1527;size=290	
DUP_1535;size=345	
DUP_1733;size=273	
DUP_1748;size=783	
DUP_1757;size=212	
DUP_1767;size=247	
DUP_1790;size=552	
DUP_1805;size=248	
DUP_1816;size=316	
DUP_1942;size=339	
DUP_1962;size=236	
DUP_1996;size=250	
DUP_2073;size=219	
DUP_2100;size=276	
DUP_2235;size=896	
DUP_2310;size=424	
DUP_2378;size=395	
DUP_2381;size=209	
DUP_2402;size=1653	
DUP_2445;size=191	
DUP_2484;size=174	
DUP_2510;size=196	
DUP_2572;size=218	
DUP_2590;size=522	
DUP_2601;size=433	
DUP_2614;size=177	
DUP_2650;size=165	
DUP_2769;size=171	
DUP_2790;size=177	
DUP_2822;size=265	
DUP_2823;size=1148	
DUP_2824;size=450	
DUP_2927;size=159	
DUP_3139;size=140	
DUP_3236;size=1562	
DUP_3470;size=392	
DUP_3507;size=347	
DUP_3611;size=125	
DUP_3629;size=129	
DUP_3652;size=208	
DUP_3936;size=109	
DUP_3944;size=107	
DUP_3947;size=203	
DUP_3966;size=236	
DUP_3983;size=179	
DUP_3984;size=179	
DUP_4063;size=617	
DUP_4090;size=95	
DUP_4097;size=133	
DUP_4124;size=96	
DUP_4254;size=89	
DUP_4287;size=89	
DUP_4389;size=118	
DUP_4390;size=669	
DUP_4413;size=679	
DUP_4535;size=264	
DUP_4538;size=198	
DUP_4650;size=93	
DUP_4653;size=90	
DUP_4751;size=101	
DUP_4773;size=297	
DUP_4970;size=243	
DUP_5013;size=97	
DUP_5158;size=71	
DUP_5310;size=129	
DUP_5330;size=80	
DUP_5347;size=120	
DUP_5420;size=119	
DUP_5532;size=70	
DUP_5586;size=389	
DUP_5727;size=100	
DUP_5759;size=69	
DUP_5761;size=98	
DUP_5793;size=69	
DUP_5794;size=70	
DUP_5847;size=64	
DUP_5891;size=74	
DUP_5978;size=63	
DUP_6142;size=63	
DUP_6184;size=71	
DUP_6186;size=249	
DUP_6187;size=185	
DUP_6266;size=89	
DUP_6320;size=247	
DUP_6393;size=79	
DUP_6414;size=84	
DUP_6420;size=59	
DUP_6432;size=99	
DUP_6559;size=71	
DUP_6572;size=195	
DUP_6836;size=53	
DUP_6970;size=155	
DUP_7124;size=201	
DUP_7283;size=110	
DUP_7371;size=51	
DUP_7374;size=45	
DUP_7718;size=50	
DUP_7724;size=245	
DUP_7725;size=47	
DUP_7726;size=59	
DUP_7784;size=108	
DUP_7795;size=1147	
