,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC9,UC10,UC12,UC13,UC14,UC15,GOC2a,GOC2b,CP23,UC3_2,CP23_2,UC3_1,CP23_1,NTC_2
OTU_101475,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_101484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,15,0
OTU_10156,0,0,0,0,0,0,0,0,0,9,0,0,0,0,31,0,0,0,0,0,0
OTU_10157,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10171,0,0,0,0,0,0,0,0,0,0,0,23,18,5,4,15,0,10,0,14,0
OTU_101767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
OTU_10178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,0
OTU_1018,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0
OTU_10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
OTU_10182,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
OTU_10183,0,0,0,0,0,0,0,0,0,0,0,0,0,5,174,0,0,0,0,0,0
OTU_101853,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10188,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
OTU_1019,0,0,8,0,0,2,0,36,99,35,175,325,58,11,0,3,0,9,8,2,0
OTU_10190,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
OTU_10191,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
OTU_10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,14,0
OTU_102,0,0,0,398,1,92,0,0,1452,1098,842,1015,410,245,27,692,0,22,0,683,0
OTU_1020,0,0,0,0,0,0,0,0,11,17,679,3,0,173,56,1,0,2,0,5,0
OTU_10204,0,0,0,0,0,0,22,0,0,0,8,6,4,0,0,0,0,0,0,0,0
OTU_102101,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
OTU_102104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
