"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_101097","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101113","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101121","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101123","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101128","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101131","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101134","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Centropagidae","Centropages","s_"
"OTU_101136","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101141","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101162","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus"
"OTU_101163","Eukaryota","Cnidaria","Hydrozoa","Trachymedusae","Geryoniidae","g_","s_"
"OTU_101166","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101176","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101189","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","Metridia lucens"
"OTU_101191","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Pleuromamma","s_"
"OTU_101194","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","Metridia lucens"
"OTU_101209","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101212","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","s_"
"OTU_101218","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101226","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101232","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calocalanidae","Calocalanus","Calocalanus plumulosus"
"OTU_101239","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101240","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101244","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101246","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus"
"OTU_101247","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Ctenocalanus","s_"
"OTU_101252","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101254","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101261","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101264","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101267","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101280","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","s_"
"OTU_101281","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_1013","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","Metridia lucens"
"OTU_101300","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101320","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101373","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101391","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101392","Eukaryota","Arthropoda","Hexanauplia","Calanoida","f_","g_","s_"
"OTU_101406","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101411","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101414","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101425","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101439","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101441","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101444","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101458","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101461","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101479","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101480","Eukaryota","Arthropoda","Hexanauplia","Calanoida","f_","g_","s_"
"OTU_101485","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101498","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101505","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101512","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101521","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101523","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101524","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101529","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101530","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101535","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101560","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101561","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101566","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Pontellidae","g_","s_"
"OTU_101578","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned"
"OTU_101583","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101588","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101592","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101597","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","s_"
"OTU_101631","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101639","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101640","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101646","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101656","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101668","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus"
"OTU_101674","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","s_"
"OTU_101687","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_101694","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Subeucalanus","s_"
"OTU_101700","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_101704","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","s_"
"OTU_101710","Eukaryota","Chordata","Actinopteri","o_","f_","g_","s_"
"OTU_101719","Eukaryota","Ctenophora","Tentaculata","o_","f_","g_","s_"
"OTU_101731","Eukaryota","Ctenophora","Tentaculata","o_","f_","g_","s_"
"OTU_101737","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101740","Eukaryota","Ctenophora","Nuda","Beroida","Beroidae","Beroe","s_"
"OTU_101743","Eukaryota","Mollusca","Gastropoda","Neogastropoda","f_","g_","s_"
"OTU_101755","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101756","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101757","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101758","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101770","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101784","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101788","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101792","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","s_"
"OTU_101793","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Sididae","Penilia","Penilia avirostris"
"OTU_101811","not assigned","not assigned","not assigned","not assigned","not assigned","not assigned","s_"
"OTU_101821","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","s_"
"OTU_101826","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Flaccisagitta","Flaccisagitta enflata"
"OTU_101845","Eukaryota","Arthropoda","Malacostraca","Mysida","Mysidae","g_","s_"
"OTU_101849","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex"
"OTU_101854","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
